"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"61-54-91-04","8",1,80000,53,1,1,14604.125,"Hombre",80000
"48-09-94-09","8",1,350000,36,1,1,4623.0927734375,"Hombre",350000
"64-09-99-55","8",1,NA,69,1,1,11134.2568359375,"Hombre",401500
"12-34-62-82","8",1,NA,79,1,1,10343.125,"Hombre",401500
"56-27-22-51","8",1,750000,48,1,1,1684.35192871094,"Hombre",750000
"10-93-32-89","8",1,900000,52,1,1,2199.39428710938,"Hombre",900000
"57-04-14-27","8",1,NA,46,1,1,6059.77490234375,"Hombre",401500
"98-21-52-17","8",1,2500000,43,1,1,12304.6923828125,"Hombre",2500000
"07-54-84-90","8",1,980000,63,1,2,2302.22387695312,"Hombre",980000
"89-12-54-00","8",1,1200000,50,1,1,4554.359375,"Hombre",1200000
"20-39-12-34","8",1,387000,50,1,3,8553.6513671875,"Hombre",387000
"87-58-92-89","8",1,900000,29,2,1,5616.14501953125,"Hombre",900000
"97-21-06-52","8",1,NA,73,2,1,5658.40966796875,"Hombre",401500
"74-89-53-96","8",1,30000,52,1,2,11582.3896484375,"Hombre",30000
"05-20-96-66","8",1,NA,53,1,1,5945.6162109375,"Hombre",401500
"96-11-00-01","9",1,0,33,1,2,8579.60546875,"Hombre",0
"88-32-50-12","9",1,1100000,45,1,2,1412.55908203125,"Hombre",1100000
"39-69-84-83","9",1,900000,45,1,1,5539.24951171875,"Hombre",900000
"96-48-91-72","9",1,750000,45,1,1,4431.05859375,"Hombre",750000
"85-15-27-63","9",1,NA,40,1,1,3006.45776367188,"Hombre",401500
"66-68-82-77","9",1,NA,62,1,1,8667.51953125,"Hombre",401500
"93-02-95-59","9",1,-888,22,1,2,21896.28125,"Hombre",401500
"71-24-10-77","9",1,2000000,80,1,1,2768.52099609375,"Hombre",2000000
"33-38-88-73","9",1,400000,49,1,1,9439.400390625,"Hombre",400000
"68-72-69-86","9",1,630000,67,1,1,15038.5478515625,"Hombre",630000
"10-93-75-12","9",1,550000,48,1,3,12008.595703125,"Hombre",550000
"73-56-41-49","9",1,NA,66,1,1,14939.4716796875,"Hombre",401500
"44-63-97-94","9",1,850000,49,1,1,4218.63525390625,"Hombre",850000
"99-57-49-10","9",1,700000,45,1,2,8606.02734375,"Hombre",700000
